release_year,track_name,playlist_subgenre,track_popularity
1957,Mess Around,urban contemporary,59.0
1957,Long Tall Sally (The Thing),classic rock,1.0
1958,Jailhouse Rock,classic rock,73.0
1960,At Last - Single Version,urban contemporary,25.0
1960,At Last - Single Version,neo soul,15.0
1960,(What A) Wonderful World - Remastered,urban contemporary,13.0
1960,Jingle Bells,neo soul,11.0
1961,Paloma Negra,urban contemporary,47.0
1962,Green Onions,classic rock,64.0
1962,Green Onions,urban contemporary,64.0
1963,Christmas (Baby Please Come Home),neo soul,73.0
1963,I Saw Her Standing There - Remastered 2009,classic rock,71.0
1963,A Hard Rain's A-Gonna Fall,album rock,59.0
1963,Surfer Joe - Hit Version,hard rock,15.0
1963,Driftin' Blues,classic rock,0.0
1964,The Sound of Silence - Acoustic Version,permanent wave,74.0
1964,You Really Got Me - Mono Mix,classic rock,72.0
1964,All Day and All of the Night,permanent wave,69.0
1964,Eight Days A Week - Remastered 2009,classic rock,65.0
1964,Winter Wonderland,neo soul,45.0
1964,You Really Got Me,album rock,16.0
1964,You Really Got Me,classic rock,16.0
1964,All Day and All of the Night,album rock,15.0
1964,All Day and All of the Night,classic rock,15.0
1965,(I Can't Get No) Satisfaction - Mono Version,album rock,76.0
1965,(I Can't Get No) Satisfaction - Mono Version,classic rock,76.0
1965,In My Life - Remastered 2009,classic rock,73.0
1965,Like a Rolling Stone,classic rock,71.0
1965,Like a Rolling Stone,urban contemporary,71.0
1965,Turn! Turn! Turn! (To Everything There Is a Season),classic rock,42.0
1965,I Can't Explain - Stereo Version,permanent wave,41.0
1965,Que Bueno Baila Usted,urban contemporary,40.0
1965,Where Have All the Good Times Gone,permanent wave,36.0
1965,My Girl,latin hip hop,26.0
1966,For What It's Worth,album rock,73.0
1966,For What It's Worth,classic rock,73.0
1966,For What It's Worth,hard rock,73.0
1966,Wouldn't It Be Nice - Stereo Mix,permanent wave,71.0
1966,"Paint It, Black - Mono",classic rock,66.0
1966,When a Man Loves a Woman,neo soul,66.0
1966,Land of 1000 Dances,urban contemporary,61.0
1966,"Like a Rolling Stone - Live at Royal Albert Hall, London, UK - May 26, 1966",album rock,61.0
1966,"Like a Rolling Stone - Live at Royal Albert Hall, London, UK - May 26, 1966",classic rock,61.0
1966,House Of The Rising Sun,album rock,60.0
1967,Brown Eyed Girl,album rock,79.0
1967,Brown Eyed Girl,southern hip hop,79.0
1967,Happy Together,classic rock,74.0
1967,Light My Fire,album rock,72.0
1967,Light My Fire,classic rock,72.0
1967,Break on Through (To the Other Side),album rock,71.0
1967,Break on Through (To the Other Side),classic rock,71.0
1967,Break on Through (To the Other Side),hard rock,71.0
1967,Purple Haze,album rock,71.0
1967,Purple Haze,classic rock,71.0
1968,All Along the Watchtower,album rock,76.0
1968,All Along the Watchtower,classic rock,76.0
1968,Born To Be Wild,album rock,73.0
1968,Born To Be Wild,classic rock,73.0
1968,Born To Be Wild,hard rock,73.0
1968,Build Me Up Buttercup,urban contemporary,72.0
1968,Born To Be Wild - Single Version,classic rock,67.0
1968,Piece of My Heart,album rock,67.0
1968,Piece of My Heart,classic rock,67.0
1968,"Hello, I Love You",classic rock,62.0
1969,Fortunate Son,post-teen pop,80.0
1969,Come Together - Remastered 2009,album rock,79.0
1969,Come Together - Remastered 2009,classic rock,79.0
1969,Whole Lotta Love - 1990 Remaster,classic rock,76.0
1969,Whole Lotta Love - 1990 Remaster,hard rock,76.0
1969,Gimme Shelter,classic rock,75.0
1969,Something - Remastered 2009,classic rock,71.0
1969,Son Of A Preacher Man,urban contemporary,71.0
1969,Good Times Bad Times - 1993 Remaster,album rock,70.0
1969,Good Times Bad Times - 1993 Remaster,classic rock,70.0
1970,Let It Be - Remastered 2009,permanent wave,79.0
1970,Have You Ever Seen The Rain,album rock,78.0
1970,Have You Ever Seen The Rain,classic rock,78.0
1970,Have You Ever Seen The Rain,permanent wave,78.0
1970,Immigrant Song - Remaster,album rock,77.0
1970,Immigrant Song - Remaster,classic rock,77.0
1970,Immigrant Song - Remaster,post-teen pop,77.0
1970,Paranoid,permanent wave,76.0
1970,My Sweet Lord,permanent wave,75.0
1970,Roadhouse Blues,classic rock,72.0
1971,Tiny Dancer,permanent wave,79.0
1971,Stairway to Heaven - Remaster,classic rock,78.0
1971,Stairway to Heaven - Remaster,permanent wave,78.0
1971,Ain't No Sunshine,neo soul,76.0
1971,Ain't No Sunshine,urban contemporary,76.0
1971,Baba O'Riley,hard rock,76.0
1971,Riders on the Storm,album rock,74.0
1971,American Pie,classic rock,73.0
1971,Black Dog - Remaster,classic rock,73.0
1971,Black Dog - Remaster,hard rock,73.0
1972,"Rocket Man (I Think It's Going To Be A Long, Long Time)",classic rock,81.0
1972,A Horse with No Name,album rock,77.0
1972,Listen to the Music,album rock,75.0
1972,Listen to the Music,classic rock,75.0
1972,Listen to the Music,hard rock,75.0
1972,Smoke On The Water - Remastered 2012,album rock,75.0
1972,Smoke On The Water - Remastered 2012,classic rock,75.0
1972,Smoke On The Water - Remastered 2012,hard rock,75.0
1972,Take It Easy - 2013 Remaster,classic rock,75.0
1972,Take It Easy - 2013 Remaster,permanent wave,75.0
1973,Dream On,album rock,78.0
1973,Dream On,classic rock,78.0
1973,Dream On,permanent wave,78.0
1973,Hooked on a Feeling,post-teen pop,75.0
1973,La Grange - 2005 Remaster,album rock,74.0
1973,La Grange - 2005 Remaster,classic rock,74.0
1973,Piano Man,permanent wave,74.0
1973,Knockin' On Heaven's Door - Remastered,album rock,73.0
1973,Knockin' On Heaven's Door - Remastered,classic rock,73.0
1973,Knockin' On Heaven's Door - Remastered,permanent wave,73.0
1974,Sweet Home Alabama,album rock,81.0
1974,Sweet Home Alabama,southern hip hop,81.0
1974,Jolene,urban contemporary,74.0
1974,Rebel Rebel - 2016 Remaster,hard rock,74.0
1974,Rebel Rebel - 2016 Remaster,permanent wave,74.0
1974,You Ain't Seen Nothing Yet,album rock,68.0
1974,You Ain't Seen Nothing Yet,classic rock,68.0
1974,Killer Queen - 2011 Mix,classic rock,67.0
