release_year,playlist_genre,track_name,track_artist,track_popularity
2000,edm,Bye Bye Bye,*NSYNC,71
2000,edm,(Rock) Superstar,Cypress Hill,60
2000,edm,Don’t You Want My Love,Moodymann,48
2000,edm,Flute,Barcode Brothers,46
2000,latin,Tu Cariñito,Puerto Rican Power,65
2000,latin,Un Montón De Estrellas,Polo Montañez,61
2000,latin,Arrasando,Thalía,54
2000,latin,Como Me Duele Perderte,Gloria Estefan,53
2000,latin,Inevitable - En Vivo,Shakira,53
2000,latin,Let The Music Play,Shannon,53
2000,latin,Perfidia,Los Rabanes,45
2000,latin,Give Me Tonight,Shannon,44
2000,latin,No Me Dejes de Querer,Gloria Estefan,36
2000,latin,Por un Beso,Gloria Estefan,31
2000,pop,Yellow,Coldplay,81
2000,pop,Oops!...I Did It Again,Britney Spears,76
2000,pop,Up & Down,Vengaboys,61
2000,pop,We’re Going to Ibiza!,Vengaboys,60
2000,pop,Too Young,Phoenix,57
2000,pop,Will I Ever,Alice DJ,49
2000,pop,Marian - Version,Sisters of Mercy,9
2000,pop,Around the World (La La La La La) - Radio Version,A Touch Of Class,5
2000,pop,Another Night,Real McCoy,2
2000,r&b,Ms. Jackson,OutKast,77
2000,r&b,Ms. Jackson,OutKast,77
2000,r&b,He Wasn't Man Enough,Toni Braxton,65
2000,r&b,I Wanna Know,Joe,64
2000,r&b,I Wanna Know,Joe,64
2000,r&b,I Wanna Know,Joe,64
2000,r&b,Didn't Cha Know,Erykah Badu,62
2000,r&b,Shackles (Praise You),Mary Mary,60
2000,r&b,Just Friends (Sunny),Musiq Soulchild,57
2000,r&b,Just Friends (Sunny),Musiq Soulchild,55
2000,rap,The Real Slim Shady,Eminem,80
2000,rap,Ms. Jackson,OutKast,77
2000,rap,Stan,Eminem,74
2000,rap,Ride Wit Me,Nelly,73
2000,rap,"So Fresh, So Clean",OutKast,66
2000,rap,"So Fresh, So Clean",OutKast,66
2000,rap,Put It On Me,Ja Rule,64
2000,rap,What's Your Fantasy (Featuring Shawna),Ludacris,63
2000,rap,What's Your Fantasy (Featuring Shawna),Ludacris,63
2000,rap,Hip Hop,Dead Prez,62
2000,rock,In the End,Linkin Park,83
2000,rock,In the End,Linkin Park,83
2000,rock,Yellow,Coldplay,81
2000,rock,Kryptonite,3 Doors Down,77
2000,rock,I Want To Hold Your Hand - Remastered 2015,The Beatles,74
2000,rock,Down with the Sickness,Disturbed,74
2000,rock,One Step Closer,Linkin Park,74
2000,rock,Down with the Sickness,Disturbed,74
2000,rock,Beautiful Day,U2,72
2000,rock,Trouble,Coldplay,71
2001,edm,One More Time,Daft Punk,74
2001,edm,Superstylin',Groove Armada,61
2001,edm,Flawless - Radio Edit,The Ones,0
2001,latin,Tabaco Y Chanel,Bacilos,68
2001,latin,Tabaco Y Chanel,Bacilos,68
2001,latin,El Duelo (feat. Ely Guerra),La Ley,65
2001,latin,Amores extraños - Versión 2001,Laura Pausini,65
2001,latin,Me haces bien,Jorge Drexler,65
2001,latin,En La Cama (feat. Daddy Yankee),Nicky Jam,65
2001,latin,Macarena - Bayside Boys Remix,Los Del Rio,62
2001,latin,La soledad - Versión 2001,Laura Pausini,60
2001,latin,Me Liberé,El Gran Combo De Puerto Rico,59
2001,latin,Carito,Carlos Vives,57
2001,pop,I Want It That Way,Backstreet Boys,76
2001,pop,Island In The Sun,Weezer,75
2001,pop,Don't Stop Believin',Journey,74
2001,pop,One More Time,Daft Punk,74
2001,pop,"Whenever, Wherever",Shakira,71
2001,pop,Piano Man,Billy Joel,70
2001,pop,"Harder, Better, Faster, Stronger",Daft Punk,70
2001,pop,Uptown Girl,Billy Joel,68
2001,pop,You Make My Dreams - Remastered,Daryl Hall & John Oates,66
2001,pop,Get the Party Started,P!nk,66
2001,r&b,U Remind Me,Usher,73
2001,r&b,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,72
2001,r&b,Always On Time,Ja Rule,72
2001,r&b,Let Me Blow Ya Mind,Eve,71
